Date,Open,High,Low,Close,Adj Close,Volume
17-12-2018,104.75,106.300003,104.400002,106,97.648689,11255782
18-12-2018,105.400002,105.800003,104,104.800003,96.543228,10904597
19-12-2018,105.099998,108.5,105.099998,107.699997,99.214745,18023307
20-12-2018,107.349998,108.900002,105.849998,106.150002,97.786865,14677973
21-12-2018,106.449997,107,103.550003,105.349998,97.049896,19003345
24-12-2018,105.449997,105.449997,103.75,104.599998,96.358986,9663127
26-12-2018,104,104.300003,102,103.900002,95.714134,10559085
27-12-2018,104.800003,105,102.699997,103,94.885048,10605851
28-12-2018,103.050003,104.400002,102.550003,102.75,94.654739,12224599
31-12-2018,103.900002,103.900002,102.199997,102.5,94.424438,11768308
01-01-2019,102.849998,102.900002,100.849998,102.5,94.424438,13384173
02-01-2019,102.050003,102.300003,99,99.949997,92.07534,40123864
03-01-2019,99.75,100.300003,97.900002,98.150002,90.41716,24374807
04-01-2019,98.150002,98.75,96,96.800003,89.173515,24533568
07-01-2019,98,98.050003,93.050003,93.449997,86.087448,34348346
08-01-2019,93.199997,94.150002,92.449997,93.050003,85.718971,30663741
09-01-2019,94.199997,95.599998,93.349998,94.449997,87.008659,27548584
10-01-2019,96.599998,96.599998,94.800003,95,87.515327,32312717
11-01-2019,95.150002,95.449997,93.699997,94.300003,86.870483,14986175
14-01-2019,94.300003,94.300003,92.699997,93.5,86.133514,12855740
15-01-2019,93.5,94.449997,93.25,93.599998,86.225632,11106564
16-01-2019,93.5,94.300003,93.449997,93.949997,86.548058,10035208
17-01-2019,94.150002,94.449997,93.050003,93.25,85.903206,8949001
18-01-2019,93.349998,93.550003,92,92.300003,85.028061,10880766
21-01-2019,92.349998,92.599998,90.349998,90.599998,83.46199,11361469
22-01-2019,89.25,89.400002,86.5,87.949997,81.020775,28973401
23-01-2019,87.900002,89.5,87.199997,89.150002,82.126228,13463017
24-01-2019,89.150002,89.25,84.5,84.800003,78.11895,31366207
25-01-2019,85.300003,85.849998,82.199997,82.599998,76.092278,24874754
28-01-2019,82.599998,83.5,80.800003,83,76.460762,20419146
29-01-2019,83,83.599998,81.650002,82.300003,75.815918,23195132
30-01-2019,82.5,83.050003,80.699997,80.949997,74.572273,17250863
31-01-2019,81.300003,82.199997,79.550003,81.300003,74.894707,36294901
01-02-2019,81.75,87.199997,80.849998,83.550003,76.96743,65021097
04-02-2019,84.099998,84.300003,81.550003,82.300003,75.815918,17072907
05-02-2019,82,83.400002,81.199997,82.150002,75.677734,16979058
06-02-2019,82.300003,83.150002,80.5,82.550003,76.046219,13068393
07-02-2019,82.650002,88.5,82.400002,87.75,80.836533,42292682
08-02-2019,88,88.050003,85.599998,87.050003,80.191681,20469839
